标题,发布时间,详情页链接,项目编号,项目名称,预算金额,采购需求,提交投标文件截止时间,项目联系人,电话,采购人名称,采购人地址,相关度评分,判断理由,地区,项目类型,预算规模,核心产品,潜在机会,跟进建议
上海市医疗器械检验研究院EMI接收机国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26390038.htm,0811-264DSITC0464,EMI接收机,¥145.00 万元,（1）设备名称及数量： EMI接收机 壹套 （项目预算：人民币145万元，可以采购进口产品） （ 2） 技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限：合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购EMI接收机用于医疗器械检验，属于检验检测机构设备采购，与施耐德核心业务关联度一般。,上海市,设备采购,中等(100-500万),EMI接收机,实验室整体配电、电源质量保障或相关测试环境配套方案,联系采购人，了解实验室整体电气需求，提供电源质量或配电解决方案。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388355.htm,11000026210200167818-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目,¥281.00 万元,标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 色谱光谱类仪器维护保养 281 1项服务 提供293台色谱光谱设备维修维护服务，保证仪器设备全年稳定、高效运行，系统整体全年可用性不低于99.9%。维修过程中所用的一切备品、备件更换费用均包含在本项目中。详见采购需求。 注：投标人必须针对本项目所有内容进行投标，不允许拆分投标。,2026-05-07 09:00（北京时间）,蔡培琳、胡鹏飞、李芊、华曲德吉央宗、何姗、王梦楠、王宏伟、黄凡,010-83923522,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,6,项目为检验机构色谱光谱类仪器维保服务，与施耐德核心业务关联度较低，但涉及大量精密仪器，存在潜在配套电源或环境控制需求。,北京市,服务,中等(100-500万),色谱、光谱类仪器,为293台精密仪器提供配套的UPS、精密配电或实验室环境控制解决方案。,联系采购人，了解实验室整体电力与环境需求，推荐相关保障产品。
上海市医疗器械检验研究院功率放大器1国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388137.htm,0811-,功率放大器1,¥130.00 万元,（1）设备名称及数量：功率放大器1 壹套 （项目预算：人民币130万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购方为医疗器械检验机构，采购功率放大器用于检测，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),功率放大器,实验室或检测设备的配套供电、控制或能效管理方案,评估功率放大器应用场景，了解其配套电气需求，寻找潜在合作点。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26382009.htm,11000026210200167853-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目,¥357.53 万元,"包号 标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 / 2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目 357.531702 1项 用于采购人小型及其他仪器类仪器设备的维护维修,满足检验需要。具体要求详见招标文件第五章采购需求。",2026-04-30 14:00（北京时间）,孙涛、王涵、杨振豪、王树凡、刘晓红、王佳乐,010-52188100,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,6,项目为检验机构仪器维保服务，非设备采购，施耐德直接产品机会有限。,北京市,服务,中等(100-500万),无,可关注其检验设备是否涉及施耐德相关配电或控制系统。,联系采购人，了解具体仪器品牌，挖掘潜在配套或升级需求。
上海市医疗器械检验研究院EMI接收机国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26390038.htm,0811-264DSITC0464,EMI接收机,¥145.00 万元,（1）设备名称及数量： EMI接收机 壹套 （项目预算：人民币145万元，可以采购进口产品） （ 2） 技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限：合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购EMI接收机用于医疗器械检验，属于专业检测设备，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),EMI接收机,无明确切入环节。,可关注采购方未来实验室建设或配电改造需求，保持信息跟踪。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388355.htm,11000026210200167818-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目,¥281.00 万元,标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 色谱光谱类仪器维护保养 281 1项服务 提供293台色谱光谱设备维修维护服务，保证仪器设备全年稳定、高效运行，系统整体全年可用性不低于99.9%。维修过程中所用的一切备品、备件更换费用均包含在本项目中。详见采购需求。 注：投标人必须针对本项目所有内容进行投标，不允许拆分投标。,2026-05-07 09:00（北京时间）,蔡培琳、胡鹏飞、李芊、华曲德吉央宗、何姗、王梦楠、王宏伟、黄凡,010-83923522,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,6,项目为药品检验机构的色谱光谱类仪器维保服务，与施耐德核心业务关联度较低。,北京市,服务,中等(100-500万),色谱、光谱类仪器,无明确切入环节。,可关注该机构未来可能的实验室环境改造或配电需求。
上海市医疗器械检验研究院功率放大器1国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388137.htm,0811-,功率放大器1,¥130.00 万元,（1）设备名称及数量：功率放大器1 壹套 （项目预算：人民币130万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购方为医疗器械检验机构，采购功率放大器用于检测，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),功率放大器,实验室或检测设备的配套电源、配电或能效管理方案,联系采购方，了解实验室整体电气需求，推荐相关配套产品。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26382009.htm,11000026210200167853-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目,¥357.53 万元,"包号 标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 / 2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目 357.531702 1项 用于采购人小型及其他仪器类仪器设备的维护维修,满足检验需要。具体要求详见招标文件第五章采购需求。",2026-04-30 14:00（北京时间）,孙涛、王涵、杨振豪、王树凡、刘晓红、王佳乐,010-52188100,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,6,项目为检验机构仪器维保服务，非直接设备采购，施耐德电气产品切入机会不明确。,北京市,服务,中等(100-500万),无,维保服务可能涉及实验室环境控制或精密仪器供电保障。,联系采购人，了解具体仪器类型及维保范围，评估是否有配套电气需求。
上海市医疗器械检验研究院EMI接收机国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26390038.htm,0811-264DSITC0464,EMI接收机,¥145.00 万元,（1）设备名称及数量： EMI接收机 壹套 （项目预算：人民币145万元，可以采购进口产品） （ 2） 技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限：合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购EMI接收机用于医疗器械检验，属于专业检测设备，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),EMI接收机,无明确切入环节。,可关注采购方未来实验室建设或配电改造需求，保持联系。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26382009.htm,11000026210200167853-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目,¥357.53 万元,"包号 标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 / 2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目 357.531702 1项 用于采购人小型及其他仪器类仪器设备的维护维修,满足检验需要。具体要求详见招标文件第五章采购需求。",2026-04-30 14:00（北京时间）,孙涛、王涵、杨振豪、王树凡、刘晓红、王佳乐,010-52188100,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,6,项目为药品检验机构的仪器维保服务，与施耐德核心业务关联度较低，但涉及实验室设备维护，存在间接机会。,北京市,服务,中等(100-500万),无,若维保设备包含施耐德相关电气或楼控产品，可提供原厂维保或备件服务。,联系采购人，了解具体维保仪器清单，判断是否有施耐德产品。
天津市医疗器械质量监督检验中心 一体化办公平台建设 (项目编号:HZ26-311-221A)竞争性磋商公告,2026.04.13,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260413_26398310.htm,HZ26-311-221A,一体化办公平台建设,¥66.00 万元,包号 是否设置最高限价 预算（万元）,,李佳、常颖、孙博晰、张毳,022-88161948,天津市医疗器械质量监督检验中心,天津市滨海高新区海泰产业园区华科大街5号,5,采购方为医疗器械检验机构，项目为信息化平台建设，与施耐德核心业务关联度较低。,天津市,信息化,小额(<100万),一体化办公平台,平台可能涉及的楼宇自控、弱电或数据中心基础设施,了解项目具体技术方案，评估是否有楼宇自控或配电需求。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26382009.htm,11000026210200167853-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目,¥357.53 万元,"包号 标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 / 2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务其他仪器维保项目 357.531702 1项 用于采购人小型及其他仪器类仪器设备的维护维修,满足检验需要。具体要求详见招标文件第五章采购需求。",2026-04-30 14:00（北京时间）,孙涛、王涵、杨振豪、王树凡、刘晓红、王佳乐,010-52188100,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,5,项目为检验机构仪器维保服务，非施耐德核心的配电、自动化或大型设备业务，但涉及实验室仪器，存在间接关联。,北京市,服务,中等(100-500万),小型及其他仪器类仪器设备,为相关检验仪器提供配套的电源保护、环境控制或能效管理解决方案。,联系项目联系人，了解具体仪器清单，评估是否有配套电气或自动化需求。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388355.htm,11000026210200167818-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目,¥281.00 万元,标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 色谱光谱类仪器维护保养 281 1项服务 提供293台色谱光谱设备维修维护服务，保证仪器设备全年稳定、高效运行，系统整体全年可用性不低于99.9%。维修过程中所用的一切备品、备件更换费用均包含在本项目中。详见采购需求。 注：投标人必须针对本项目所有内容进行投标，不允许拆分投标。,2026-05-07 09:00（北京时间）,蔡培琳、胡鹏飞、李芊、华曲德吉央宗、何姗、王梦楠、王宏伟、黄凡,010-83923522,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,5,项目为药品检验机构的色谱光谱类仪器维保服务，与施耐德核心业务关联度较低。,北京市,服务,中等(100-500万),色谱、光谱类仪器,无,非核心业务，建议保持关注，无需主动跟进。
宣恩县人民医院医疗器械及医用耗材采购项目废标公告,2026.04.16,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202604/t20260416_26414482.htm,STBN-ZC-2026-057,宣恩县人民医院医疗器械及医用耗材采购项目,详见公告正文,,,田建,15827187842,宣恩县人民医院,恩施土家族苗族自治州宣恩县宣北大道10号,4,项目为医疗器械及耗材采购，未明确涉及电气或基建，与施耐德核心业务直接关联度低。,湖北省恩施土家族苗族自治州宣恩县,耗材采购,未知,无,无明确切入点,可关注医院后续是否有基建或配电改造项目。
药品、医疗器械、化妆品市级监督抽验经费项目（三次）公开招标公告,2026.04.15,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260415_26410366.htm,11000026210200163815-XM001,药品、医疗器械、化妆品市级监督抽验经费项目,¥666.08 万元,标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 药品、医疗器械、化妆品市级监督抽验经费项目 （ 三次） 666.08 1项 北京市2026年市级医疗器械抽检检验项目。,2026-05-06 13:30（北京时间）,魏新卓、付颖、喻晓娇,17600173064 / 15110095604,北京市药品监督管理局机关,北京市通州区留庄路6号院2号楼,4,项目为政府监督抽验服务采购，不涉及设备采购或基建，与施耐德业务直接关联度低。,北京市,服务,大额(>500万),无,检验检测机构可能涉及实验室环境控制或配电，但非本项目直接需求。,可关注承接此检验服务的机构，了解其后续设备或设施需求。
陕西省医疗器械质量检验院陕西省医疗器械质量检验院无源检验所工业CT分析软件购置采购实行单一来源采购方式的公示,2026.04.15,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202604/t20260415_26408913.htm,,陕西省医疗器械质量检验院无源检验所工业CT分析软件购置,¥16.00 万元,,,许老师,2933585310,陕西省医疗器械质量检验院无源检验所工业CT分析软件购置,东丽开发区四纬路28号厂房1,4,采购工业CT分析软件，属于医疗器械检验环节，与施耐德核心业务关联度低。,陕西省,设备采购,小额(<100万),工业CT分析软件,无,无需跟进，非核心业务领域。
上海市医疗器械化妆品审评核查中心2026年技术劳务服务补充项目的公开招标公告,2026.04.14,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260414_26403363.htm,310000000251127156747-00318109,上海市医疗器械化妆品审评核查中心2026年技术劳务服务补充项目,¥474.23 万元,标项一 包名称： 技术咨询服务 数量： 1 预算金额（元）： 1149900.00 简要规格描述或项目基本概况介绍、用途： （1）辅助完成本市第二类医疗器械技术审评等相关工作； （2）辅助完成医疗器械产业发展状况与趋势的分析与研究、监管科学以及本市重点或优势产业发展政策法规的研究，以及相关技术文件制修订工作； （3）完成领导交办的其他工作。 标项二 包名称： 技术咨询服务 数量： 6 预算金额（元）： 1458000.00 简要规格描述或项目基本概况介绍、用途： （1）辅助完成化妆品审查相关工作； （2）辅助完成化妆品产业发展状况与趋势的分析与研究、监管科学以及本市重点或优势产业发展政策法规的研究，以及相关技术文件制修订； （3）完成领导交办的其他工作。 标项三 包名称： 技术咨询服务 数量： 12 预算金额（元）： 2134380.00 简要规格描述或项目基本概况介绍、用途： （1）负责接收受理企业提交的各项申请资料并进行初步审核； （2）负责数据统计、信息报送、资料移交、批件制作及送达、回执归档等工作； （3）参与制定和完善有关医疗器械、化妆品或执业药师审评核查的技术指南、技术标准等技术文件； （4）完成领导交办的其他工作。 合同履约期限： 自合同签订之日起12个月。（具体内容及要求详见招标文件第三部分—采购需求） 本项目（ 否 ）接受联合体投标。,2026年05月06日 14:00,王一澄,021-62091273*8003,上海市医疗器械化妆品审评核查中心,南昌路210号,4,项目为政府技术劳务服务采购，不涉及设备或基建，与施耐德电气核心业务直接关联度低。,上海市,服务,中等(100-500万),无,无直接切入环节。,无需直接跟进，可作为行业背景信息存档。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次的更正公告,2026.04.14,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260414_26400312.htm,GZWS-2025-6055-01,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目C包二次,,,,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,4,项目为医用耗材和医疗器械采购，未明确涉及施耐德电气的核心业务领域。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,未知,无,无明确切入环节,可联系采购人了解项目详情，确认是否有配套电气需求。
2026年度山东省药品医疗器械化妆品抽样检验系统（药化抽检模块）智能化升级改造项目竞争性磋商公告,2026.04.14,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260414_26398952.htm,SDGP370000000202602001469,2026年度山东省药品医疗器械化妆品抽样检验系统（药化抽检模块）智能化升级改造项目,¥56.52 万元,（包括但不限于标的的名称、数量、简要技术需求或服务要求等） 采购标的 数量（单位） 允许进口 中小企业划分标准所属行业 山东省药品医疗器械化妆品抽样检验系统（药化抽检模块）智能化升级改造 1(项) 否 软件和信息技术服务业 本采购包 不接受 联合体投标,,丁朋朋、孟俊希,0531-55699129,山东省药品监督管理局机关,济南市经十路16122号,4,项目为药品监管部门的软件系统升级，与施耐德电气核心业务（配电、自动化、能效）直接关联度低。,山东省济南市,信息化,小额(<100万),药品医疗器械化妆品抽样检验系统（软件）,无明确直接机会。,无需直接跟进，可作为行业动态信息存档。
山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3)公开招标公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391301.htm,,山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3),¥500.00 万元,,2026年05月07日09时00分,杨学安、洪坤、贾振、侯同旦、孙涛、徐艳,13386406562,山东省妇幼保健院,济南市浆水泉路9-7号(山东省妇幼保健院),4,项目为医用织物洗涤消毒服务，不涉及电气设备或系统采购，机会不明确。,山东省济南市,服务,中等(100-500万),无,服务设施（如洗涤中心）可能涉及的配电或楼宇控制系统。,了解洗涤服务供应商，探寻其设施建设或改造中的电气需求。
